up,вверх
value,ценить
off,выключенный
PM,ВЕЧЕРА
black,черный
field,поле
determine,определять
still,все еще
key,ключ
amount,количество
come,приходить
loss,потеря
high,высокий
data,данные
speak,говорить
industry,промышленность
dinner,ужин
feeling,чувство
thought,мысль
stay,оставаться
beautiful,красивый
edge,край
statement,заявление
vote,голосование
available,доступный
chance,шанс
itself,сам
require,требовать
tonight,сегодня вечером
partner,партнер
on,на
table,стол
kind,добрый
range,диапазон
find,находить
such,такой
white,белый
fast,быстрый
serious,серьезный
six,шесть
I,я
thought,мысль
there,там
concern,беспокойство
pain,боль
dinner,ужин
local,местный
recent,недавний
catch,ловить
expert,эксперт
care,Забота
media,СМИ
painting,рисование
wrong,неправильный
behind,позади
billion,миллиард
choose,выбирать
your,твой
able,способный
allow,позволять
