of, из
official, официальный
significant, значительный
role, роль
his, его
somebody, кто-нибудь
apply, применять
heavy, тяжелый
phone, телефон
personal, личный
only, только
cause, причина
may, может
focus, фокус
trip, путешествие
simple, простой
enter, входить
develop, развивать
last, последний
page, страница
business, бизнес
interest, интерес
without, без
pressure, давление
pull, тянуть
show, показывать
require, требовать
including, включая
agency, агентство
sport, спорт
join, присоединиться
patient, пациент
present, подарок
professional, профессиональный
economy, экономика
trip, путешествие
computer, компьютер
keep, держать
population, Население
likely, вероятный
