abolish, отменить  
abortion, аборт  
absence, отсутствие  
absent, отсутствующий  
absorb, впитывать / поглощать  
abstract, абстрактный / абстракция  
absurd, абсурдный  
abundance, изобилие  
abuse, злоупотребление / насилие  
academy, академия  
accelerate, ускорять  
accent, акцент  
acceptance, принятие / одобрение  
accessible, доступный  
accidentally, случайно  
accommodate, размещать / удовлетворять потребности  
accomplish, выполнить / достигнуть  
accomplishment, достижение  
accordance, соответствие  
accordingly, соответственно  
accountability, ответственность  
accountable, ответственный  
accountant, бухгалтер  
accumulate, накапливать  
accumulation, накопление  
accuracy, точность  
accurately, точно  
accusation, обвинение  
accused, обвиняемый  
acid, кислота  
acquisition, приобретение  
acre, акр  
activate, активировать  
activation, активация  
activist, активист  
acute, острый / серьезный  
adaptation, адаптация  
addiction, зависимость  
additionally, дополнительно  
adequate, адекватный  
adequately, должным образом  
adhere, прилипать / соблюдать  
adjacent, смежный  
adjust, настраивать  
adjustment, настройка  
administer, управлять  
administrative, административный  
administrator, администратор  
admission, признание / допуск  
adolescent, подросток  
adoption, принятие на усыновление  
adverse, неблагоприятный  
advocate, защитник / адвокат  
aesthetic, эстетический / художественный  
affection, привязанность / любовь  
affordable, доступный  
aftermath, последствия  
aggression, агрессия  
agricultural, сельскохозяйственный  
agriculture, сельское хозяйство  
aide, помощник  
AIDS, СПИД  
albeit, хотя / всё же  
alert, оповещение / предупреждение  
alien, инопланетянин / чужой  
align, выравнивать  
alignment, выравнивание  
alike, похожий  
allegation, обвинение  
allege, утверждать  
allegedly, якобы  
alliance, союз  
allocate, распределять  
allocation, распределение  
allowance, пособие / допущение  
ally, союзник  
alongside, рядом  
altogether, в целом  
aluminium, алюминий  
amateur, любительский / любитель  
ambassador, посол  
ambulance, скорая помощь  
amend, изменять / исправлять  
amendment, поправка / изменение  
amid, среди  
amusing, забавный  
analogy, аналогия  
analyst, аналитик  
ancestor, предок  
anchor, якорь / телеведущий  
angel, ангел  
animation, анимация  
annually, ежегодно  
anonymous, анонимный  
anticipate, предвидеть  
anxiety, тревога  
apology, извинение  
apparatus, аппарат  
appealing, привлекательный  
appetite, аппетит  
applaud, аплодировать  
applicable, применимый  
applicant, заявитель  
appoint, назначать  
appreciation, оценка / признательность  
appropriately, соответствующим образом  
arbitrary, произвольный  
architectural, архитектурный  
archive, архив  
arena, арена  
arguably, по мнению некоторых  
arm, рука / оружие  
array, массив / протокол  
arrow, стрела  
articulate, излагать ясно и грамотно  
artwork, произведение искусства  
ash, зола / пепел  
aside, в стороне  
aspiration, стремление  
aspire, стремиться  
assassination, убийство  
assault, нападение  
assemble, собираться  
assembly, сборка / ассамблея  
assert, утверждение
casino, казино  
casual, случайный / неформальный  
casualty, жертва / потерпевший  
catalogue, каталог  
cater, обслуживать / угождать  
cattle, крупный рогатый скот  
